keyword,recent_count,prior_count,growth
operations,93,0,999.0
coronavirus infectious disease 2019,65,0,999.0
racial subgroup,65,0,999.0
ethanol dependent,65,0,999.0
rational design,77,0,999.0
coronavirus infectious disease-19,191,0,999.0
vulnerable people,327,0,999.0
smartphone based app,56,0,999.0
alcohol related liver disease,37,0,999.0
smartphone based application,56,0,999.0
inequity,56,0,999.0
cognitive treatment,56,0,999.0
hiv-1 associated neurocognitive deficit,43,0,999.0
hiv neurocognitive impairment,43,0,999.0
complementation,80,0,999.0
long term abstinence,37,0,999.0
atac sequencing,37,0,999.0
neural imaging,338,0,999.0
ethanol liver disease,37,0,999.0
alcohol-associated liver disease,37,0,999.0
hiv induced neurocognitive impairment,43,0,999.0
meeting,333,0,999.0
hiv induced neurocognitive deficit,43,0,999.0
transcriptomic profiling,37,0,999.0
transcriptome profiling,37,0,999.0
high schoolers,47,0,999.0
hiv associated neurocognitive impairment,43,0,999.0
hiv associated neurocognitive deficit,43,0,999.0
single cell expression profiling,129,0,999.0
single cell transcriptomic profiling,129,0,999.0
brain based,47,0,999.0
strokes,63,0,999.0
stroked,63,0,999.0
reduces the risk,141,0,999.0
reduces risk,141,0,999.0
reduce these risks,141,0,999.0
compare to control,87,0,999.0
rat transgene,36,0,999.0
data representations,36,0,999.0
neuropathologic,36,0,999.0
neuropathological,36,0,999.0
wearable tool,36,0,999.0
wearables,36,0,999.0
care as usual,173,0,999.0
addiction potential,173,0,999.0
process evaluation,36,0,999.0
cocaine-associated behaviors,32,0,999.0
comparison control,87,0,999.0
addiction liability,173,0,999.0
racial inequality,86,0,999.0
benchmark,59,0,999.0
engagement with communities,59,0,999.0
mortality rate,59,0,999.0
mortality ratio,59,0,999.0
novel pharmacological therapeutic,449,0,999.0
gene repair therapy,47,0,999.0
cocaine related behaviors,32,0,999.0
lived experiences,48,0,999.0
lived experience,48,0,999.0
effectiveness/implementation trial,48,0,999.0
effectiveness/implementation hybrid trial,48,0,999.0
prevent relapse,170,0,999.0
racial inequity,86,0,999.0
enzyme linked immunoassay,42,0,999.0
machine learning based method,60,0,999.0
ethnic minority group,59,0,999.0
ethnic minority individual,59,0,999.0
ethnic minority people,59,0,999.0
examine cost,60,0,999.0
evaluate cost,60,0,999.0
cost evaluation,60,0,999.0
inducible pluripotent stem cell,84,0,999.0
antinociception,84,0,999.0
antinociceptive,84,0,999.0
weights,42,0,999.0
rural individual,42,0,999.0
rural people,42,0,999.0
racially unequal,86,0,999.0
rural group,42,0,999.0
patient oriented outcomes,166,0,999.0
exposure to meth,36,0,999.0
exposure to methamphetamine,36,0,999.0
cocaine withdrawal,36,0,999.0
clustered regularly interspaced short palindromic repeats approach,169,0,999.0
crispr/cas approach,169,0,999.0
crispr tools,169,0,999.0
crispr based approach,169,0,999.0
cell cultures,85,0,999.0
crispr approach,169,0,999.0
cocaine motivated behaviors,32,0,999.0
asian,35,0,999.0
reduce the risk,141,0,999.0
resilient,145,0,999.0
resource-limited community,61,0,999.0
resource-limited area,61,0,999.0
resource-constrained setting,61,0,999.0
resource-constrained region,61,0,999.0
resource-constrained environment,61,0,999.0
resource-constrained community,61,0,999.0
social influence,57,0,999.0
medication-assisted therapy,146,0,999.0
resource-constrained area,61,0,999.0
covid-19 effect,35,0,999.0
low-resource setting,61,0,999.0
low-resource region,61,0,999.0
research associates,185,0,999.0
neurological imaging,508,0,999.0
covid-19 impact,35,0,999.0
cocaine seeking,143,0,999.0
antagonism,358,0,999.0
low-resource environment,61,0,999.0
covid-19 impacted,35,0,999.0
low-resource community,61,0,999.0
infusions,142,0,999.0
reduce risk,141,0,999.0
reduce risks,141,0,999.0
reduce that risk,141,0,999.0
post-doctoral trainee,185,0,999.0
examine effectiveness,185,0,999.0
cocaine behavior,32,0,999.0
resource-poor community,61,0,999.0
ingest,32,0,999.0
multi-modal neuro-imaging,41,0,999.0
effectiveness and implementation trial,48,0,999.0
suicides,82,0,999.0
multi-modal neuroimaging,41,0,999.0
health and care delivery,61,0,999.0
multimodal neuro-imaging,41,0,999.0
multimodal neuroimaging,41,0,999.0
resource-poor setting,61,0,999.0
resource-poor region,61,0,999.0
resource-poor environment,61,0,999.0
resource-poor area,61,0,999.0
caring for patients,58,0,999.0
data management center,88,0,999.0
data management and coordinating center,88,0,999.0
resource-limited setting,61,0,999.0
resource-limited region,61,0,999.0
covid-19 affected,35,0,999.0
covid-19 consequence,35,0,999.0
resource-limited environment,61,0,999.0
attenuate,364,0,999.0
attenuates,364,0,999.0
care for patients,58,0,999.0
care of patients,58,0,999.0
new treatment strategy,200,0,999.0
facilitators to implementation,76,0,999.0
homes,233,0,999.0
mental health care,76,0,999.0
subgroup disparity,45,0,999.0
community based organizations,38,0,999.0
disparate,38,0,999.0
primary care clinic,38,0,999.0
analyzing longitudinal,38,0,999.0
disparity among subgroups,45,0,999.0
disparity between groups,45,0,999.0
transcriptomic sequencing,255,0,999.0
disparity between subgroups,45,0,999.0
maladaptive behavior,109,0,999.0
group disparity,45,0,999.0
substance use and disorder,1009,0,999.0
infection by hepatitis c virus,39,0,999.0
population inequity,45,0,999.0
group inequality,45,0,999.0
group inequity,45,0,999.0
translational investigation,254,0,999.0
inequalities among populations,45,0,999.0
hands,39,0,999.0
predicting risk,39,0,999.0
predict risk,39,0,999.0
population inequality,45,0,999.0
psychostimulant use disorder,108,0,999.0
inequalities between populations,45,0,999.0
mechanic,108,0,999.0
unequal group,45,0,999.0
individuals from minority,38,0,999.0
individuals of minority,38,0,999.0
disparities across groups,45,0,999.0
disadvantaged people,45,0,999.0
health care inequity,37,0,999.0
health care inequality,37,0,999.0
disadvantaged subgroup,45,0,999.0
groups at risk,71,0,999.0
people at risk,71,0,999.0
persons at risk,71,0,999.0
preparations,239,0,999.0
brain impairment,50,0,999.0
reduction in disparity,45,0,999.0
abnormal brain function,50,0,999.0
biological engineering,37,0,999.0
unequal population,45,0,999.0
mitigate disparity,45,0,999.0
lower disparity,45,0,999.0
disparity across subgroups,45,0,999.0
coronavirus disease-19 global pandemic,259,0,999.0
coronavirus disease-19 pandemic,259,0,999.0
measurable outcome,113,0,999.0
disparity among groups,45,0,999.0
outcome measurement,113,0,999.0
decrease disparity,45,0,999.0
risk taking,52,0,999.0
genomic location,52,0,999.0
predict risks,39,0,999.0
predicted risk,39,0,999.0
community care,30,0,999.0
inequities between populations,45,0,999.0
naturally occurring product,39,0,999.0
inequity in groups,45,0,999.0
inequality between groups,45,0,999.0
cocaine-addicted,103,0,999.0
inequality in groups,45,0,999.0
african american population,104,0,999.0
african american people,104,0,999.0
african american individual,104,0,999.0
nonpharmacologic approach,30,0,999.0
inequities among populations,45,0,999.0
african american group,104,0,999.0
nonpharmacologic treatment,30,0,999.0
inequality among groups,45,0,999.0
inequity between groups,45,0,999.0
inequity across populations,45,0,999.0
overdose reversal,38,0,999.0
machine learning based model,51,0,999.0
machine learning model,51,0,999.0
reverse overdose,38,0,999.0
community advisory board,30,0,999.0
recovery support,106,0,999.0
inequities in populations,45,0,999.0
chipseq,51,0,999.0
inequity across groups,45,0,999.0
risk predictions,39,0,999.0
inequality across populations,45,0,999.0
pre ind fda meeting,30,0,999.0
primary care patient,30,0,999.0
pre-ind mtg,30,0,999.0
predicted risks,39,0,999.0
predicting risks,39,0,999.0
pre-ind consultation,30,0,999.0
predictive risk,39,0,999.0
pre-ind discussion,30,0,999.0
pre-ind meeting,30,0,999.0
pre-investigational new drug meeting,30,0,999.0
health disparity community,30,0,999.0
health disparity group,30,0,999.0
crystal methamphetamine,253,0,999.0
cannabis law,30,0,999.0
inequalities in populations,45,0,999.0
cannabis policy,30,0,999.0
cannabis regulation,30,0,999.0
cannabis use law,30,0,999.0
cannabis use policy,30,0,999.0
marijuana law,30,0,999.0
marijuana policy,30,0,999.0
older adulthood,30,0,999.0
nonpharmacologic intervention,30,0,999.0
predicts risk,39,0,999.0
hiv associated neurological disease,51,0,999.0
hiv associated neurological disorder,51,0,999.0
addiction to cocaine,235,0,999.0
meth,164,0,999.0
healthcare inequality,37,0,999.0
healthcare inequity,37,0,999.0
named,54,0,999.0
naming,54,0,999.0
manufacture,121,0,999.0
self-reported discrimination,37,0,999.0
immunosuppressive function,30,0,999.0
perception of discrimination,37,0,999.0
perceived discrimination,37,0,999.0
experienced discrimination,37,0,999.0
ethnic inequity,33,0,999.0
genetic predisposing factor,49,0,999.0
gene network,119,0,999.0
ethnic inequality,33,0,999.0
nicotine self-administration,49,0,999.0
ethnic based disparity,33,0,999.0
cryogenic electron microscopy,49,0,999.0
disparity in ethnic,33,0,999.0
marginalized background,33,0,999.0
shocks,33,0,999.0
statistic methods,75,0,999.0
controlled trials,296,0,999.0
validations,295,0,999.0
acute to chronic pain transition,53,0,999.0
incomes,75,0,999.0
clinical training,35,0,999.0
neuroprotective,35,0,999.0
name,54,0,999.0
health disparities research,48,0,999.0
intervention delivery,54,0,999.0
conformations,76,0,999.0
mental healthcare,76,0,999.0
stressful life experience,65,0,999.0
stressful life event,65,0,999.0
under represented people,123,0,999.0
future implementation,76,0,999.0
coping strategy,76,0,999.0
underrepresented people,123,0,999.0
conformational,76,0,999.0
translational potential,94,0,999.0
conformationally,76,0,999.0
pilot test,204,0,999.0
assess implementation,122,0,999.0
immunosuppressive activity,30,0,999.0
implementation assessment,122,0,999.0
evaluate implementation,122,0,999.0
community-based partners,33,0,999.0
community partners,33,0,999.0
use of stimulants,95,0,999.0
kids,298,0,999.0
psychostimulant use,95,0,999.0
immune suppressive activity,30,0,999.0
health disparities related research,48,0,999.0
cue-induced relapse,33,0,999.0
immune suppressive function,30,0,999.0
epigenetically,293,0,999.0
comparable efficacy,35,0,999.0
diagnostic criteria,53,0,999.0
race based inequality,72,0,999.0
diffuses,53,0,999.0
diffusing,53,0,999.0
diffusions,53,0,999.0
disparity due to race,72,0,999.0
identification of biomarkers,50,0,999.0
inequality due to race,72,0,999.0
inequity due to race,72,0,999.0
integrated care,40,0,999.0
integrated model of care,40,0,999.0
disadvantaged group,45,0,999.0
race based disparity,72,0,999.0
race based inequity,72,0,999.0
fentanyl use,35,0,999.0
race related disparity,72,0,999.0
race related inequality,72,0,999.0
race related inequity,72,0,999.0
treatment responsiveness,72,0,999.0
disadvantaged individual,45,0,999.0
covid-19 years,99,0,999.0
stimulant,232,0,999.0
covid-19 period,99,0,999.0
covid-19 era,99,0,999.0
high risk individual,115,0,999.0
high risk people,115,0,999.0
diffused,53,0,999.0
placebo controlled,116,0,999.0
snrna-seq,72,0,999.0
nociceptive neurons,97,0,999.0
chronic pain control,290,0,999.0
chronic pain intervention,290,0,999.0
chronic pain therapy,290,0,999.0
chronic pain treatment,290,0,999.0
treat chronic pain,290,0,999.0
therapy response,215,0,999.0
response to therapy,215,0,999.0
vulnerable individual,216,0,999.0
minority individual,117,0,999.0
fentanyl self-administration,44,0,999.0
syndemic,53,0,999.0
synergistic epidemic,53,0,999.0
alzheimer disease dementia,97,0,999.0
pharmacologic,768,0,999.0
cannabinoid type 1,74,0,999.0
consultation,74,0,999.0
snuc-seq,72,0,999.0
single nucleus rna-sequencing,72,0,999.0
single-nucleus rna-seq,72,0,999.0
pain-sensing somatosensory neurons,97,0,999.0
pain-sensing sensory neurons,97,0,999.0
pain-sensing neurons,97,0,999.0
panomics,35,0,999.0
racial population,67,1,826.33
black race,163,4,502.58
patient enrollment,60,2,370.0
participant enrollment,60,2,370.0
people of color,41,2,252.83
evaluation of implementation,122,6,250.78
implementation evaluation,122,6,250.78
clinically translatable,61,4,188.08
implementation facilitators,76,7,133.9
economic,167,17,121.16
sleep improvement,33,4,101.75
improvement on sleep,33,4,101.75
intervention refinement,41,5,101.13
marginalized population,62,8,95.58
remote delivery,43,6,88.39
delivered remotely,43,6,88.39
coronavirus disease 2019 global health crisis,259,42,76.06
covid-19 global pandemic,259,42,76.06
coronavirus disease 2019 health crisis,259,42,76.06
covid-19 global health crisis,259,42,76.06
severe acute respiratory syndrome coronavirus 2 pandemic,259,42,76.06
coronavirus disease 2019 global pandemic,259,42,76.06
coronavirus disease 2019 public health crisis,259,42,76.06
coronavirus disease 2019 crisis,259,42,76.06
severe acute respiratory syndrome cov 2 epidemic,259,42,76.06
severe acute respiratory syndrome coronavirus 2 epidemic,259,42,76.06
severe acute respiratory syndrome cov 2 pandemic,259,42,76.06
coronavirus disease epidemic,259,42,76.06
sars-coronavirus-2 pandemic,259,42,76.06
sars-coronavirus-2 epidemic,259,42,76.06
sars-cov-2 pandemic,259,42,76.06
sars-cov-2 global pandemic,259,42,76.06
sars-cov-2 global health crisis,259,42,76.06
covid-19 health crisis,259,42,76.06
coronavirus disease crisis,259,42,76.06
sars-cov-2 epidemic,259,42,76.06
coronavirus disease pandemic,259,42,76.06
covid-19 crisis,259,42,76.06
covid crisis,259,42,76.06
covid epidemic,259,42,76.06
covid-19 public health crisis,259,42,76.06
severe acute respiratory syndrome coronavirus 2 global health crisis,259,42,76.06
covid pandemic,259,42,76.06
severe acute respiratory syndrome coronavirus 2 global pandemic,259,42,76.06
health inequity,67,11,75.12
inequalities in health,67,11,75.12
inequities in health,67,11,75.12
health disparity populations,40,7,70.48
environmental hazards,68,12,69.89
old age,33,6,67.83
multidimensional datasets,53,10,65.37
transition to chronic pain,53,10,65.37
chronic pain transition,53,10,65.37
pain chronification,53,10,65.37
biologic,890,168,65.34
digital intervention,36,7,63.43
feasibility testing,125,25,61.67
implementation barriers,92,19,59.72
implementation challenges,92,19,59.72
recreation,87,18,59.61
implementation intervention,72,15,59.2
disadvantaged background,48,10,59.2
multiple substance use,129,27,58.93
multisubstance use,129,27,58.93
polysubstance use,129,27,58.93
poly substance use,129,27,58.93
forecasting risk,52,11,58.3
risk prediction,52,11,58.3
re-aim,94,20,57.97
community engagement,136,29,57.84
participant engagement,112,24,57.56
examine efficacy,279,60,57.35
efficacy analysis,279,60,57.35
efficacy assessment,279,60,57.35
evaluate efficacy,279,60,57.35
efficacy examination,279,60,57.35
helping end addiction longterm,595,130,56.45
helping to end addiction long-term,595,130,56.45
helping to end addiction longterm,595,130,56.45
heal initiative,595,130,56.45
helping end addiction long-term,595,130,56.45
multidimensional data,53,12,54.47
high dimensional data,53,12,54.47
effectiveness outcome,44,10,54.27
effectiveness-related outcomes,44,10,54.27
safety assessment,52,12,53.44
chronic pain management,290,67,53.38
cigarette craving,30,7,52.86
cv-19,191,45,52.35
under served community,55,13,52.18
underserved community,55,13,52.18
data infrastructure,37,9,50.7
transcriptional profile,142,35,50.04
noninvasive brain stimulation,44,11,49.33
non-invasive brain stimulation,44,11,49.33
xenograft transplant model,39,10,48.1
xenotransplant model,39,10,48.1
wearable biosensor,35,9,47.96
national center on minority health and health disparities,31,8,47.79
ncmhd,31,8,47.79
implementation outcomes,115,30,47.28
covid19 public health crisis,160,42,46.98
covid19 health crisis,160,42,46.98
covid19 global pandemic,160,42,46.98
covid19 global health crisis,160,42,46.98
covid19 crisis,160,42,46.98
sars-cov2 pandemic,160,42,46.98
sars-cov2 epidemic,160,42,46.98
nicotine treatment,38,10,46.87
consolidated framework for implementing change,98,26,46.49
consolidated framework for implementation research,98,26,46.49
consolidated framework for implementation science,98,26,46.49
dedications,180,48,46.25
health inequalities,67,18,45.91
overdose fatalities,528,143,45.54
acceleration,372,101,45.43
implementation science framework,77,21,45.22
acceptability and feasibility,242,66,45.22
implementation framework,77,21,45.22
implementation research framework,77,21,45.22
efficacy,73,20,45.02
reach,146,40,45.02
and maintenance,146,40,45.02
coronavirus disease 2019 epidemic,259,71,44.99
coronavirus disease 2019 pandemic,259,71,44.99
covid-19 epidemic,259,71,44.99
catalog,51,14,44.93
under representation of groups,123,34,44.62
under represented groups,123,34,44.62
under represented populations,123,34,44.62
underrepresentation of groups,123,34,44.62
ethnicity disparity,36,10,44.4
ethnic disparity,36,10,44.4
mφ,101,29,42.95
strategies for implementation,169,49,42.54
multiomics,79,23,42.36
pdx model,82,24,42.14
patient derived xenograft,82,24,42.14
patient derived xenograft model,82,24,42.14
implementation cost,34,10,41.93
implementation investment,34,10,41.93
community-based health,61,18,41.8
disparity in healthcare,37,11,41.48
healthcare disparity,37,11,41.48
health care disparity,37,11,41.48
disparity in care,37,11,41.48
veterans affairs,94,28,41.4
novel therapeutic strategies,304,91,41.2
assess effectiveness,270,81,41.11
quasi-experimental study,40,12,41.11
effectiveness assessment,270,81,41.11
quasi-experiment,40,12,41.11
quasi-experimental research,40,12,41.11
determine effectiveness,270,81,41.11
quasi-experimental methods,40,12,41.11
quasi-experimental analysis,40,12,41.11
quasi-experimental design,40,12,41.11
quasi-experimental approach,40,12,41.11
quasi-experimental technique,40,12,41.11
substance use treatment,386,116,41.04
military population,66,20,40.7
pain after surgery,132,40,40.7
combustible tobacco,46,14,40.52
prescription pain medication,36,11,40.36
prescription analgesic,36,11,40.36
community participatory research,88,27,40.2
community led research,88,27,40.2
community engaged research,39,12,40.08
irregular sleep,144,45,39.47
video conferencing,32,10,39.47
diets,67,21,39.35
newborn abstinence syndrome,114,36,39.06
veterans health administration,88,28,38.76
veterans health affairs,88,28,38.76
ethnicity population,90,29,38.28
ethnicity people,90,29,38.28
ethnic people,90,29,38.28
ethnic population,90,29,38.28
interindividual variability,34,11,38.12
sleep illness,79,26,37.47
immune system response,91,30,37.41
digital therapeutics,42,14,37.0
digital therapy,42,14,37.0
digital treatment,42,14,37.0
machine learning methodologies,60,20,37.0
health delivery systems,91,31,36.2
multiple omics,79,27,36.09
implementation process,58,20,35.77
non-opioid therapeutics,288,100,35.52
conventional cigarette,91,32,35.07
traditional cigarette,91,32,35.07
neurohiv,51,18,34.94
neuro-hiv,51,18,34.94
neuro-aids,51,18,34.94
wearable system,48,17,34.82
intervention for prevention,189,67,34.79
under served group,118,42,34.65
underserved group,118,42,34.65
under served people,118,42,34.65
cv19,126,45,34.53
minority population,117,42,34.36
minority people,117,42,34.36
findable,36,13,34.15
accessible,36,13,34.15
data standards,88,32,33.92
individualized therapeutic strategy,99,36,33.92
smoking initiation,33,12,33.92
2nd trimester,88,32,33.92
data standardization,88,32,33.92
health related behavior,89,33,33.26
non-drug therapy,35,13,33.21
non-drug treatment,35,13,33.21
nondrug therapy,35,13,33.21
nondrug treatment,35,13,33.21
cocaine self-administration,318,119,32.96
implementation efforts,32,12,32.89
prescribed medication,174,66,32.52
medication prescription,174,66,32.52
cancer-directed therapy,116,44,32.52
community research,71,27,32.43
tobacco product use,382,146,32.27
therapeutic opioid,34,13,32.26
repurposing agent,31,12,31.86
drug repurposing,31,12,31.86
repurposing medication,31,12,31.86
undergrad,126,49,31.71
impoverished,117,46,31.37
multi-modal datasets,38,15,31.24
multimodal datasets,38,15,31.24
dissemination and implementation,93,37,31.0
coronavirus disease 2019,191,76,31.0
biomarker identification,55,22,30.83
marker identification,55,22,30.83
implementation study,47,19,30.51
gender and sexual minorities,37,15,30.42
sexual and gender minorities,37,15,30.42
barcode,37,15,30.42
veteran population,118,48,30.32
military veteran,118,48,30.32
mobile device application,80,33,29.9
effectiveness study,43,18,29.46
candidate identification,50,21,29.37
rural location,138,58,29.34
efficacy evaluation,279,118,29.16
sociodeterminant,51,22,28.59
ten years of age,69,30,28.37
10 years of age,69,30,28.37
systemic inflammation,32,14,28.19
data harmonization,75,33,28.03
substance user,50,22,28.03
harmonized data,75,33,28.03
tobacco regulation,34,15,27.96
tobacco regulatory efforts,34,15,27.96
regulate tobacco,34,15,27.96
midtrimester,88,39,27.83
second pregnancy trimester,88,39,27.83
second trimester,88,39,27.83
corona virus disease 2019 epidemic,160,71,27.79
covid19 epidemic,160,71,27.79
corona virus disease 2019 pandemic,160,71,27.79
covid19 pandemic,160,71,27.79
stimulant use disorder,108,48,27.75
nicotine reward,40,18,27.41
effectiveness evaluation,270,122,27.3
evaluate effectiveness,270,122,27.3
urban location,44,20,27.13
urban region,44,20,27.13
single cell rnaseq,129,59,26.97
electroencephalogram,159,74,26.5
sociocultural,45,21,26.43
social culture,45,21,26.43
longterm prospective studies,30,14,26.43
socio-cultural,45,21,26.43
systemic inflammatory response,32,15,26.31
clinical pain,164,78,25.93
age 65 and greater,33,16,25.44
age 65 and older,33,16,25.44
aged 65 and greater,33,16,25.44
aged ≥65,33,16,25.44
wearable sensor technology,35,17,25.39
efficacious therapy,73,36,25.01
efficacious treatment,73,36,25.01
multimodal data,38,19,24.67
multi-modal data,38,19,24.67
marginalization,58,29,24.67
osteoarthritis associated pain,32,16,24.67
anxiety reduction,30,15,24.67
large datasets,81,41,24.37
large data sets,81,41,24.37
data integrity,59,30,24.26
wearable electronics,51,26,24.19
patient reported measures,92,47,24.14
electronic nicotine delivery product,90,46,24.13
electronic nicotine distribution system,90,46,24.13
cryo-em,70,36,23.98
opioid tapering,33,17,23.94
community health aides,33,17,23.94
community health worker,33,17,23.94
darkness,77,40,23.74
disparities in race,86,45,23.57
race disparity,86,45,23.57
national institute of children's health and human development,40,21,23.49
racism,53,28,23.35
supervised learning,34,18,23.3
supervised machine learning,34,18,23.3
genetically manipulate,147,78,23.24
genetically perturb,147,78,23.24
gene manipulation,147,78,23.24
economic analysis,58,31,23.08
social factors,86,46,23.06
three dimensional,224,120,23.02
treatment risk,39,21,22.9
synthetic opiate,172,93,22.81
synthetic opioid,172,93,22.81
traumatic stress,35,19,22.72
risk mitigation,46,25,22.69
stressed mothers,73,40,22.51
maternal stress,73,40,22.51
wearable technology,51,28,22.46
social health determinants,139,77,22.26
polygenic risk score,61,34,22.13
single cell sequencing,34,19,22.07
malleable risk,55,31,21.88
maternal health,112,64,21.58
socio-economically disadvantaged,40,23,21.45
socio-economic disadvantage,40,23,21.45
socio-economically underprivileged,40,23,21.45
stress reduction,38,22,21.3
racial disparity,86,50,21.21
malnourished,66,39,20.87
genetic strategy,213,126,20.85
atacseq,62,37,20.67
atac-seq,62,37,20.67
adverse childhood experiences,35,21,20.56
emergency hospital visit,128,77,20.5
lasting pain,88,53,20.48
constant pain,88,53,20.48
corona virus disease 2019,126,76,20.45
feasibility trial,38,23,20.38
machine learned algorithm,66,40,20.35
biopharmaceutical,61,37,20.33
biological agent,61,37,20.33
interactive atmosphere,31,19,20.12
interdisciplinary atmosphere,31,19,20.12
peer-group atmosphere,31,19,20.12
business-friendly atmosphere,31,19,20.12
collaborative atmosphere,31,19,20.12
conditional knock-out,70,43,20.08
conditional knockout,70,43,20.08
machine learning method,60,37,20.0
early life exposure,61,38,19.8
gene locus,77,48,19.78
genetic locus,77,48,19.78
genomic locus,77,48,19.78
clustered regularly interspaced short palindromic repeats methodology,169,106,19.66
clustered regularly interspaced short palindromic repeats technique,169,106,19.66
clustered regularly interspaced short palindromic repeats technology,169,106,19.66
clustered regularly interspaced short palindromic repeats method,169,106,19.66
adverse childhood events,35,22,19.62
deep learning,54,34,19.59
early adversity,47,30,19.32
early childhood adversity,47,30,19.32
differences between sexes,358,229,19.28
differs between sexes,358,229,19.28
sexual differences,358,229,19.28
cost estimation,64,41,19.25
cost estimate,64,41,19.25
non-pharmacologic therapy,45,29,19.14
nonpharmacologic therapy,45,29,19.14
long-term follow-up,31,20,19.12
longterm follow-up,31,20,19.12
longterm followup,31,20,19.12
long-term followup,31,20,19.12
co-occuring symptom,79,51,19.1
co-morbid symptom,79,51,19.1
drug epidemiology,34,22,19.06
pharmacoepidemiology,34,22,19.06
pharmacoepidemiologic,34,22,19.06
pharmaceutical epidemiology,34,22,19.06
pharmacoepidemiological,34,22,19.06
hpa axis,63,41,18.95
age 10 years,69,45,18.91
biological products,61,40,18.81
genetic signature,38,25,18.75
gene signatures,38,25,18.75
single cell rna-seq,129,85,18.72
scrna-seq,129,85,18.72
single-cell rna sequencing,129,85,18.72
prenatal visit,47,31,18.7
prenatal appointment,47,31,18.7
prenatal checkup,47,31,18.7
effectiveness testing,130,86,18.64
ad dementia,157,104,18.62
ten year old,69,46,18.5
10 year old,69,46,18.5
pharmacokinetics and pharmacodynamics,91,61,18.4
pk/pd,91,61,18.4
treatment research,88,59,18.4
depository,70,47,18.37
adaptive intervention,58,39,18.34
3d,224,152,18.18
ethnoracial,103,70,18.15
early life adversity,47,32,18.11
m mulatta,63,43,18.07
behavioral phenotyping,189,129,18.07
behavior phenotype,189,129,18.07
m. mulatta,63,43,18.07
model of human,130,89,18.01
fetal opioid exposure,42,29,17.86
fetal opiate exposures,42,29,17.86
prenatal opioid exposure,42,29,17.86
gestational opioid exposure,42,29,17.86
comparison intervention,55,38,17.85
compare intervention,55,38,17.85
actiq,363,251,17.84
duragesic,363,251,17.84
fentanest,363,251,17.84
newborn child,128,89,17.74
newborn children,128,89,17.74
patient engagement,112,78,17.71
pain catastrophizing,30,21,17.62
ecological systems,30,21,17.62
nano-sized particle,37,26,17.55
nanosized particle,37,26,17.55
injuries,270,190,17.53
maternal opioid use,51,36,17.47
maternal opiates use,51,36,17.47
central nervous system plasticity,237,168,17.4
implementation facilitation,31,22,17.38
pancreatic malignancy,31,22,17.38
wildtype mouse,100,71,17.37
emotional functioning,32,23,17.16
biotherapeutic agent,61,44,17.1
posttrauma stress disorder,316,228,17.09
post-trauma stress disorder,316,228,17.09
sleep diseases,79,57,17.09
stimulant use,95,69,16.98
transcriptomics,363,265,16.89
organoids,78,57,16.88
knee oa,41,30,16.86
knee joint oa,41,30,16.86
knee joint osteoarthritis,41,30,16.86
